,NtotDose,PtotDose,KtotDose,yield_knn,yield_rf,yield_nn,yield_gp,cost,gp_revenue,gp_benefit
166,166.0,-0.19842677557931385,-0.926924156250261,36.48116930770656,30.288853908348774,26.045522133073867,36.53974712744732,199.2,9134.93678186183,8935.73678186183
167,167.0,-0.19842677557931385,-0.926924156250261,36.48462937710117,30.288853908348774,26.12032412171983,36.59051409712778,200.4,9147.628524281945,8947.228524281945
168,168.0,-0.19842677557931385,-0.926924156250261,36.48808664646975,30.288853908348774,26.19594795208029,36.64068063966055,201.6,9160.170159915138,8958.570159915138
169,169.0,-0.19842677557931385,-0.926924156250261,36.49154036660551,30.288853908348774,26.27239941784024,36.69024427749172,202.79999999999998,9172.56106937293,8969.761069372931
170,170.0,-0.19842677557931385,-0.926924156250261,36.494989788480936,30.288853908348774,26.349683328889746,36.73920262633225,204.0,9184.800656583062,8980.800656583062
171,171.0,-0.19842677557931385,-0.926924156250261,36.49843416374468,30.288853908348774,26.42780351832526,36.78755339458135,205.2,9196.888348645338,8991.688348645337
172,172.0,-0.19842677557931385,-0.926924156250261,36.50187274522181,30.288853908348774,26.506762851096095,36.835294382752295,206.4,9208.823595688074,9002.423595688075
173,173.0,-0.19842677557931385,-0.926924156250261,36.50530478741663,30.288853908348774,26.586563234219806,36.88242348289775,207.6,9220.605870724437,9013.005870724437
174,174.0,-0.19842677557931385,-0.926924156250261,36.508729547017474,30.2477461901966,26.667205628489594,36.928938678039586,208.79999999999998,9232.234669509897,9023.434669509898
175,175.0,-0.19842677557931385,-0.926924156250261,36.512146283402686,30.66030943378895,26.748690061595653,36.974838041599675,210.0,9243.709510399918,9033.709510399918
176,176.0,-0.19842677557931385,-0.926924156250261,36.51555425914709,30.66030943378895,26.83101564258257,37.02011973683644,211.2,9255.029934209111,9043.82993420911
177,177.0,-0.19842677557931385,-0.926924156250261,36.51895274052813,31.134294462249095,26.914180577565077,37.06478201627988,212.4,9266.195504069969,9053.795504069969
178,178.0,-0.19842677557931385,-0.926924156250261,36.52234099803101,31.131177332270834,26.998182186624483,37.10882322117737,213.6,9277.205805294341,9063.60580529434
179,179.0,-0.19842677557931385,-0.926924156250261,36.52571830685205,31.131177332270834,27.08301692180937,37.15224178093629,214.79999999999998,9288.060445234074,9073.260445234075
180,180.0,-0.19842677557931385,-0.926924156250261,36.52908394739935,31.131177332270834,27.168680386164652,37.19503621257745,216.0,9298.759053144362,9082.759053144362
181,181.0,-0.19842677557931385,-0.926924156250261,36.53243720579024,31.131177332270834,27.2551673537146,37.23720512018859,217.2,9309.301280047148,9092.101280047147
182,182.0,-0.19842677557931385,-0.926924156250261,36.5357773743445,31.131177332270834,27.34247179032659,37.2787471943859,218.4,9319.686798596475,9101.286798596475
183,183.0,-0.19842677557931385,-0.926924156250261,36.53910375207272,31.131177332270834,27.430586875384098,37.319661211778566,219.6,9329.915302944642,9110.315302944642
184,184.0,-0.19842677557931385,-0.926924156250261,36.54241564515894,31.131177332270834,27.519505024198697,37.35994603444104,220.79999999999998,9339.98650861026,9119.18650861026
185,185.0,-0.19842677557931385,-0.926924156250261,36.545712367436884,31.270905401473733,27.609217911093165,37.3996006093885,222.0,9349.900152347125,9127.900152347125
186,186.0,-0.19842677557931385,-0.926924156250261,36.548993240858955,31.270905401473733,27.699716493089046,37.438623968060426,223.2,9359.655992015107,9136.455992015106
187,187.0,-0.19842677557931385,-0.926924156250261,36.55225759595728,31.270905401473733,27.790991034134386,37.477015225808785,224.4,9369.253806452196,9144.853806452196
188,188.0,-0.19842677557931385,-0.926924156250261,36.555504772296075,31.270905401473733,27.88303112980894,37.51477358139123,225.6,9378.693395347807,9153.093395347807
189,189.0,-0.19842677557931385,-0.926924156250261,36.674844355818415,31.270905401473733,27.975825732446385,37.551898316474734,226.79999999999998,9387.974579118683,9161.174579118684
190,190.0,-0.19842677557931385,-0.926924156250261,36.6767739176403,31.344066088919384,28.069363176614964,37.588388795139345,228.0,9397.097198784837,9169.097198784837
191,191.0,-0.19842677557931385,-0.926924156250261,36.67869161032972,31.344066088919384,28.163631204899822,37.62424446339341,229.2,9406.061115848352,9176.86111584835
192,192.0,-0.19842677557931385,-0.926924156250261,36.680596959055414,31.344066088919384,28.258616993932684,37.65946484869363,230.39999999999998,9414.866212173407,9184.466212173407
