PoidsSpec,NoEssai,NoBloc,NoTraitement,ID,ID_bl,DensitePlants,PrecCropFiveClasses,Cultivar,Maturity5,growing.season,temp_moy_5years,prec_tot_5years,sdi_5years,gdd_5years,NtotDose,PtotDose,KtotDose,soilTextIlr1,soilTextIlr2,soilTextIlr3,soilTypeIlr1_3,soilTypeIlr2_3,soil_pH,soil_P1_Fv.AlP,soil_P1_Al.P,soil_K2_FvMgCa.K,soil_K2_Fv.MgCa,soil_K2_Mg.Ca,soil_P,soil_K,soil_Al,ISP1,test_type
1.07933,73,2,1,73-2-1,73-2,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,0,215,120,2.4842288469543012,0.5031933184409049,-0.24959962218664078,-2.384684059784833,-2.4054598201063713,5.21,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
1.0714,73,2,2,73-2-2,73-2,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,70,215,120,2.4842288469543012,0.5031933184409049,-0.24959962218664078,-2.384684059784833,-2.4054598201063713,5.21,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
1.07431,73,2,3,73-2-3,73-2,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,105,215,120,2.4842288469543012,0.5031933184409049,-0.24959962218664078,-2.384684059784833,-2.4054598201063713,5.21,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
1.07178,73,2,4,73-2-4,73-2,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,140,215,120,2.4842288469543012,0.5031933184409049,-0.24959962218664078,-2.384684059784833,-2.4054598201063713,5.21,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
1.07443,73,2,5,73-2-5,73-2,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,140,215,120,2.4842288469543012,0.5031933184409049,-0.24959962218664078,-2.384684059784833,-2.4054598201063713,5.21,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
1.07616,73,2,6,73-2-6,73-2,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,175,215,120,2.4842288469543012,0.5031933184409049,-0.24959962218664078,-2.384684059784833,-2.4054598201063713,5.21,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
1.07684,73,2,7,73-2-7,73-2,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,210,215,120,2.4842288469543012,0.5031933184409049,-0.24959962218664078,-2.384684059784833,-2.4054598201063713,5.21,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
1.07581,73,2,8,73-2-8,73-2,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,105,129,120,2.4842288469543012,0.5031933184409049,-0.24959962218664078,-2.384684059784833,-2.4054598201063713,5.21,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
1.0767,73,2,9,73-2-9,73-2,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,105,215,120,2.4842288469543012,0.5031933184409049,-0.24959962218664078,-2.384684059784833,-2.4054598201063713,5.21,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
1.08173,73,3,1,73-3-1,73-3,43716,Cereal,Superior,early mid-season,106,17.799109504496563,444.46,-0.71954842004721975,1890.4,0,215,120,2.5332268141748995,0.503193318440905,-0.24959962218664078,-2.384684059784833,-2.4054598201063713,5.14,-6.831281952127199,2.506456862029206,-3.1796352379566346,-6.533159316031489,2.191917918442026,39.4562963,122.4755556,1366.296296,2.8878286807563738,N
