NoEssai,NoBloc,NoTraitement,ID,ID_bl,NtotDose,PtotDose,KtotDose,test_type,RendVendable
25,1,2,25-1-2,25-1,50,180,270,N,26.80142178
25,1,3,25-1-3,25-1,100,180,270,N,36.59865306
25,1,4,25-1-4,25-1,150,180,270,N,40.84406211
25,1,5,25-1-5,25-1,200,180,270,N,38.25118764
25,1,6,25-1-6,25-1,150,180,270,N,45.38441172
25,1,7,25-1-7,25-1,150,180,270,N,40.92300208
25,1,8,25-1-8,25-1,150,180,270,N,39.71721569
25,2,1,25-2-1,25-2,0,180,270,N,22.54560306
25,2,2,25-2-2,25-2,50,180,270,N,40.43548269
25,2,3,25-2-3,25-2,100,180,270,N,41.67336556
25,2,4,25-2-4,25-2,150,180,270,N,30.73801072
25,2,5,25-2-5,25-2,200,180,270,N,31.70957961
25,2,6,25-2-6,25-2,150,180,270,N,36.37311028
25,2,7,25-2-7,25-2,150,180,270,N,42.52695822
25,2,8,25-2-8,25-2,150,180,270,N,42.57119931
25,3,1,25-3-1,25-3,0,180,270,N,25.58175583
25,3,2,25-3-2,25-3,50,180,270,N,42.09322211
25,3,3,25-3-3,25-3,100,180,270,N,25.23042958
25,3,4,25-3-4,25-3,150,180,270,N,38.71268286
25,3,5,25-3-5,25-3,200,180,270,N,40.92647197
25,3,6,25-3-6,25-3,150,180,270,N,40.51095278
25,3,7,25-3-7,25-3,150,180,270,N,48.40321506
25,3,8,25-3-8,25-3,150,180,270,N,46.97622325
26,1,1,26-1-1,26-1,0,180,270,N,35.13451767
26,1,2,26-1-2,26-1,60,180,270,N,45.59564121
26,1,3,26-1-3,26-1,120,180,270,N,40.44635946
26,1,4,26-1-4,26-1,180,180,270,N,24.66050033
26,2,1,26-2-1,26-2,0,180,270,N,36.12860704
26,2,2,26-2-2,26-2,60,180,270,N,48.66221748
26,2,3,26-2-3,26-2,120,180,270,N,35.507373
26,2,4,26-2-4,26-2,180,180,270,N,34.1145596
26,3,1,26-3-1,26-3,0,180,270,N,44.72833581
26,3,2,26-3-2,26-3,60,180,270,N,40.18764965
26,3,3,26-3-3,26-3,120,180,270,N,46.281378
26,3,4,26-3-4,26-3,180,180,270,N,35.975808
27,1,1,27-1-1,27-1,0,180,270,N,22.27668667
27,1,2,27-1-2,27-1,60,180,270,N,31.11622861
27,1,3,27-1-3,27-1,120,180,270,N,29.24248861
27,1,4,27-1-4,27-1,180,180,270,N,25.3735625
27,2,1,27-2-1,27-2,0,180,270,N,28.62658333
27,2,2,27-2-2,27-2,60,180,270,N,29.68489944
27,2,3,27-2-3,27-2,120,180,270,N,31.82755583
27,2,4,27-2-4,27-2,180,180,270,N,25.42561083
27,3,1,27-3-1,27-3,0,180,270,N,18.1908925
27,3,2,27-3-2,27-3,60,180,270,N,35.55768639
27,3,3,27-3-3,27-3,120,180,270,N,27.81115944
27,3,4,27-3-4,27-3,180,180,270,N,29.36393472
32,1,1,32-1-1,32-1,150,0,60,NPK,15.27166667
32,1,2,32-1-2,32-1,150,50,60,NPK,36.62804444
32,1,3,32-1-3,32-1,150,50,60,NPK,43.39901176
32,1,4,32-1-4,32-1,150,100,60,NPK,27.64752941
32,1,5,32-1-5,32-1,150,100,60,NPK,43.38632941
32,1,6,32-1-6,32-1,150,100,60,NPK,47.20371765
32,1,7,32-1-7,32-1,150,125,60,NPK,41.73762353
32,1,8,32-1-8,32-1,0,100,60,NPK,30.55178824
32,1,9,32-1-9,32-1,50,100,60,NPK,24.31207059
32,1,10,32-1-10,32-1,100,100,60,NPK,20.34249412
32,2,1,32-2-1,32-2,150,0,60,NPK,37.81877647
32,2,2,32-2-2,32-2,150,50,60,NPK,35.91642353
32,2,3,32-2-3,32-2,150,50,60,NPK,36.15738824
32,2,4,32-2-4,32-2,150,100,60,NPK,44.52774118
32,2,5,32-2-5,32-2,150,100,60,NPK,35.34571765
32,2,6,32-2-6,32-2,150,100,60,NPK,37.98364706
32,2,7,32-2-7,32-2,150,125,60,NPK,48.38317647
32,2,8,32-2-8,32-2,0,100,60,NPK,30.85616471
32,2,9,32-2-9,32-2,50,100,60,NPK,28.50992941
32,2,10,32-2-10,32-2,100,100,60,NPK,35.10475294
32,3,1,32-3-1,32-3,150,0,60,NPK,34.59745882
32,3,2,32-3-2,32-3,150,50,60,NPK,37.17197647
32,3,3,32-3-3,32-3,150,50,60,NPK,37.21002353
32,3,4,32-3-4,32-3,150,100,60,NPK,39.56894118
32,3,5,32-3-5,32-3,150,100,60,NPK,34.67355294
32,3,6,32-3-6,32-3,150,100,60,NPK,34.64818824
32,3,7,32-3-7,32-3,150,125,60,NPK,40.81181176
32,3,8,32-3-8,32-3,0,100,60,NPK,26.45538824
32,3,9,32-3-9,32-3,50,100,60,NPK,31.87075294
32,3,10,32-3-10,32-3,100,100,60,NPK,34.96524706
33,1,1,33-1-1,33-1,0,180,270,N,6.876659111
33,1,2,33-1-2,33-1,75,180,270,N,14.95638661
33,1,3,33-1-3,33-1,150,180,270,N,19.11638372
33,1,4,33-1-4,33-1,200,180,270,N,17.61406617
33,1,5,33-1-5,33-1,150,180,270,N,26.08758822
33,1,6,33-1-6,33-1,150,180,270,N,24.231376
33,1,7,33-1-7,33-1,150,180,270,N,26.6279715
33,2,1,33-2-1,33-2,0,180,270,N,9.563829889
33,2,2,33-2-2,33-2,75,180,270,N,21.75845028
33,2,3,33-2-3,33-2,150,180,270,N,24.81426133
33,2,5,33-2-5,33-2,150,180,270,N,31.87567428
33,2,6,33-2-6,33-2,150,180,270,N,28.07390878
33,2,7,33-2-7,33-2,150,180,270,N,37.13985744
33,3,1,33-3-1,33-3,0,180,270,N,6.186217556
33,3,2,33-3-2,33-3,75,180,270,N,17.81963733
33,3,3,33-3-3,33-3,150,180,270,N,18.26374044
33,3,4,33-3-4,33-3,200,180,270,N,27.62286656
33,3,5,33-3-5,33-3,150,180,270,N,24.95130878
33,3,6,33-3-6,33-3,150,180,270,N,26.75461028
33,3,7,33-3-7,33-3,150,180,270,N,28.30810378
34,1,1,34-1-1,34-1,0,180,270,N,8.873388333
34,1,2,34-1-2,34-1,75,180,270,N,25.27571222
34,1,3,34-1-3,34-1,150,180,270,N,26.81099056
34,1,4,34-1-4,34-1,200,180,270,N,31.39947778
34,1,5,34-1-5,34-1,150,180,270,N,28.89272389
34,1,6,34-1-6,34-1,150,180,270,N,32.709235
34,1,7,34-1-7,34-1,150,180,270,N,30.88771833
34,2,1,34-2-1,34-2,0,180,270,N,12.89720539
34,2,2,34-2-2,34-2,75,180,270,N,26.29923111
34,2,3,34-2-3,34-2,150,180,270,N,23.76645556
34,2,4,34-2-4,34-2,200,180,270,N,29.76878667
34,2,5,34-2-5,34-2,150,180,270,N,34.10573111
