,ID,NoEssai,NoBloc,ID_bl,NoTraitement,test_type
551,49-2-4,49,2,49-2,4,NPK
552,49-2-5,49,2,49-2,5,NPK
553,49-2-6,49,2,49-2,6,NPK
554,49-2-7,49,2,49-2,7,NPK
556,49-2-9,49,2,49-2,9,NPK
557,49-2-10,49,2,49-2,10,NPK
558,49-2-11,49,2,49-2,11,NPK
559,49-3-1,49,3,49-3,1,NPK
560,49-3-2,49,3,49-3,2,NPK
561,49-3-3,49,3,49-3,3,NPK
562,49-3-4,49,3,49-3,4,NPK
563,49-3-5,49,3,49-3,5,NPK
564,49-3-6,49,3,49-3,6,NPK
565,49-3-7,49,3,49-3,7,NPK
567,49-3-9,49,3,49-3,9,NPK
568,49-3-10,49,3,49-3,10,NPK
569,49-3-11,49,3,49-3,11,NPK
640,58-1-1,58,1,58-1,1,N
641,58-1-2,58,1,58-1,2,N
642,58-1-3,58,1,58-1,3,N
643,58-1-4,58,1,58-1,4,N
648,61-1-1,61,1,61-1,1,N
649,61-1-2,61,1,61-1,2,N
650,61-1-3,61,1,61-1,3,N
651,61-1-4,61,1,61-1,4,N
652,62-1-1,62,1,62-1,1,N
653,62-1-2,62,1,62-1,2,N
654,62-1-3,62,1,62-1,3,N
655,62-1-4,62,1,62-1,4,N
656,63-1-1,63,1,63-1,1,N
657,63-1-2,63,1,63-1,2,N
658,63-1-3,63,1,63-1,3,N
659,63-1-4,63,1,63-1,4,N
664,65-1-1,65,1,65-1,1,N
665,65-1-2,65,1,65-1,2,N
666,65-1-3,65,1,65-1,3,N
667,65-1-4,65,1,65-1,4,N
668,66-1-1,66,1,66-1,1,N
669,66-1-2,66,1,66-1,2,N
670,66-1-3,66,1,66-1,3,N
671,66-1-4,66,1,66-1,4,N
757,71-1-1,71,1,71-1,1,N
758,71-1-2,71,1,71-1,2,N
759,71-1-3,71,1,71-1,3,N
760,71-1-4,71,1,71-1,4,N
761,71-1-5,71,1,71-1,5,N
762,71-1-6,71,1,71-1,6,N
763,71-1-7,71,1,71-1,7,N
764,71-1-8,71,1,71-1,8,N
765,71-1-9,71,1,71-1,9,N
766,71-2-1,71,2,71-2,1,N
767,71-2-2,71,2,71-2,2,N
768,71-2-3,71,2,71-2,3,N
769,71-2-4,71,2,71-2,4,N
770,71-2-5,71,2,71-2,5,N
771,71-2-6,71,2,71-2,6,N
772,71-2-7,71,2,71-2,7,N
773,71-2-8,71,2,71-2,8,N
774,71-2-9,71,2,71-2,9,N
775,71-3-1,71,3,71-3,1,N
776,71-3-2,71,3,71-3,2,N
777,71-3-3,71,3,71-3,3,N
778,71-3-4,71,3,71-3,4,N
779,71-3-5,71,3,71-3,5,N
780,71-3-6,71,3,71-3,6,N
781,71-3-7,71,3,71-3,7,N
782,71-3-8,71,3,71-3,8,N
783,71-3-9,71,3,71-3,9,N
784,72-1-1,72,1,72-1,1,N
785,72-1-2,72,1,72-1,2,N
786,72-1-3,72,1,72-1,3,N
787,72-1-4,72,1,72-1,4,N
788,72-1-5,72,1,72-1,5,N
789,72-1-6,72,1,72-1,6,N
790,72-1-7,72,1,72-1,7,N
791,72-1-8,72,1,72-1,8,N
792,72-1-9,72,1,72-1,9,N
793,72-2-1,72,2,72-2,1,N
794,72-2-2,72,2,72-2,2,N
795,72-2-3,72,2,72-2,3,N
796,72-2-4,72,2,72-2,4,N
797,72-2-5,72,2,72-2,5,N
798,72-2-6,72,2,72-2,6,N
799,72-2-7,72,2,72-2,7,N
800,72-2-8,72,2,72-2,8,N
801,72-2-9,72,2,72-2,9,N
802,72-3-1,72,3,72-3,1,N
803,72-3-2,72,3,72-3,2,N
804,72-3-3,72,3,72-3,3,N
805,72-3-4,72,3,72-3,4,N
806,72-3-5,72,3,72-3,5,N
807,72-3-6,72,3,72-3,6,N
808,72-3-7,72,3,72-3,7,N
809,72-3-8,72,3,72-3,8,N
810,72-3-9,72,3,72-3,9,N
811,73-1-1,73,1,73-1,1,N
812,73-1-2,73,1,73-1,2,N
813,73-1-3,73,1,73-1,3,N
814,73-1-4,73,1,73-1,4,N
815,73-1-5,73,1,73-1,5,N
816,73-1-6,73,1,73-1,6,N
817,73-1-7,73,1,73-1,7,N
818,73-1-8,73,1,73-1,8,N
819,73-1-9,73,1,73-1,9,N
820,73-2-1,73,2,73-2,1,N
821,73-2-2,73,2,73-2,2,N
822,73-2-3,73,2,73-2,3,N
823,73-2-4,73,2,73-2,4,N
824,73-2-5,73,2,73-2,5,N
825,73-2-6,73,2,73-2,6,N
826,73-2-7,73,2,73-2,7,N
827,73-2-8,73,2,73-2,8,N
828,73-2-9,73,2,73-2,9,N
829,73-3-1,73,3,73-3,1,N
830,73-3-2,73,3,73-3,2,N
831,73-3-3,73,3,73-3,3,N
832,73-3-4,73,3,73-3,4,N
833,73-3-5,73,3,73-3,5,N
834,73-3-6,73,3,73-3,6,N
835,73-3-7,73,3,73-3,7,N
836,73-3-8,73,3,73-3,8,N
837,73-3-9,73,3,73-3,9,N
838,74-1-1,74,1,74-1,1,N
839,74-1-2,74,1,74-1,2,N
840,74-1-3,74,1,74-1,3,N
841,74-1-4,74,1,74-1,4,N
842,74-1-5,74,1,74-1,5,N
843,74-1-6,74,1,74-1,6,N
844,74-1-7,74,1,74-1,7,N
845,74-1-8,74,1,74-1,8,N
846,74-1-9,74,1,74-1,9,N
847,74-2-1,74,2,74-2,1,N
848,74-2-2,74,2,74-2,2,N
849,74-2-3,74,2,74-2,3,N
850,74-2-4,74,2,74-2,4,N
851,74-2-5,74,2,74-2,5,N
852,74-2-6,74,2,74-2,6,N
853,74-2-7,74,2,74-2,7,N
854,74-2-8,74,2,74-2,8,N
855,74-2-9,74,2,74-2,9,N
856,74-3-1,74,3,74-3,1,N
857,74-3-2,74,3,74-3,2,N
858,74-3-3,74,3,74-3,3,N
859,74-3-4,74,3,74-3,4,N
860,74-3-5,74,3,74-3,5,N
861,74-3-6,74,3,74-3,6,N
862,74-3-7,74,3,74-3,7,N
863,74-3-8,74,3,74-3,8,N
864,74-3-9,74,3,74-3,9,N
865,75-1-1,75,1,75-1,1,N
866,75-1-2,75,1,75-1,2,N
867,75-1-3,75,1,75-1,3,N
868,75-1-4,75,1,75-1,4,N
869,75-1-5,75,1,75-1,5,N
870,75-1-6,75,1,75-1,6,N
871,75-1-7,75,1,75-1,7,N
872,75-1-8,75,1,75-1,8,N
873,75-1-9,75,1,75-1,9,N
874,75-2-1,75,2,75-2,1,N
875,75-2-2,75,2,75-2,2,N
876,75-2-3,75,2,75-2,3,N
877,75-2-4,75,2,75-2,4,N
878,75-2-5,75,2,75-2,5,N
879,75-2-6,75,2,75-2,6,N
880,75-2-7,75,2,75-2,7,N
881,75-2-8,75,2,75-2,8,N
882,75-2-9,75,2,75-2,9,N
883,75-3-1,75,3,75-3,1,N
884,75-3-2,75,3,75-3,2,N
885,75-3-3,75,3,75-3,3,N
886,75-3-4,75,3,75-3,4,N
